regions,Year,Month,Deaths,Date,,,,,,,,
East Midlands,2017,7,3369,2017-7,,,,,,,,
East Midlands,2017,8,3443,2017-8,,,,,,,,
East Midlands,2017,9,3324,2017-9,,,,,,,,
East Midlands,2017,10,3540,2017-10,,,,,,,,
East Midlands,2017,11,3876,2017-11,,,,,,,,
East Midlands,2017,12,3869,2017-12,,,,,,,,
West Midlands,2017,1,5975,2017-1,,,,,,,,
West Midlands,2017,2,4938,2017-2,,,,,,,,
West Midlands,2017,3,5066,2017-3,,,,,,,,
West Midlands,2017,4,4027,2017-4,,,,,,,,
West Midlands,2017,5,4557,2017-5,,,,,,,,
West Midlands,2017,6,4481,2017-6,,,,,,,,
West Midlands,2017,7,4033,2017-7,,,,,,,,
West Midlands,2017,8,4159,2017-8,,,,,,,,
West Midlands,2017,9,4179,2017-9,,,,,,,,
West Midlands,2017,10,4483,2017-10,,,,,,,,
West Midlands,2017,11,4741,2017-11,,,,,,,,
West Midlands,2017,12,4587,2017-12,,,,,,,,
East,2017,1,6203,2017-1,,,,,,,,
East,2017,2,5365,2017-2,,,,,,,,
East,2017,3,5396,2017-3,,,,,,,,
East,2017,4,4138,2017-4,,,,,,,,
East,2017,5,4750,2017-5,,,,,,,,
East,2017,6,4449,2017-6,,,,,,,,
East,2017,7,4126,2017-7,,,,,,,,
East,2017,8,4422,2017-8,,,,,,,,
East,2017,9,4445,2017-9,,,,,,,,
East,2017,10,4701,2017-10,,,,,,,,
East,2017,11,4979,2017-11,,,,,,,,
East,2017,12,4788,2017-12,,,,,,,,
London,2017,1,5470,2017-1,,,,,,,,
London,2017,2,4489,2017-2,,,,,,,,
London,2017,3,4232,2017-3,,,,,,,,
London,2017,4,3672,2017-4,,,,,,,,
London,2017,5,4049,2017-5,,,,,,,,
London,2017,6,3880,2017-6,,,,,,,,
London,2017,7,3482,2017-7,,,,,,,,
London,2017,8,3919,2017-8,,,,,,,,
London,2017,9,3673,2017-9,,,,,,,,
London,2017,10,4113,2017-10,,,,,,,,
London,2017,11,4224,2017-11,,,,,,,,
London,2017,12,4209,2017-12,,,,,,,,
South East,2017,1,9045,2017-1,,,,,,,,
South East,2017,2,7409,2017-2,,,,,,,,
South East,2017,3,7406,2017-3,,,,,,,,
South East,2017,4,5938,2017-4,,,,,,,,
South East,2017,5,6825,2017-5,,,,,,,,
South East,2017,6,6430,2017-6,,,,,,,,
South East,2017,7,5836,2017-7,,,,,,,,
South East,2017,8,6298,2017-8,,,,,,,,
South East,2017,9,6128,2017-9,,,,,,,,
South East,2017,10,6737,2017-10,,,,,,,,
South East,2017,11,6866,2017-11,,,,,,,,
South East,2017,12,6997,2017-12,,,,,,,,
South West,2017,1,5833,2017-1,,,,,,,,
South West,2017,2,5165,2017-2,,,,,,,,
South West,2017,3,5134,2017-3,,,,,,,,
South West,2017,4,4092,2017-4,,,,,,,,
South West,2017,5,4865,2017-5,,,,,,,,
South West,2017,6,4650,2017-6,,,,,,,,
South West,2017,7,4149,2017-7,,,,,,,,
South West,2017,8,4455,2017-8,,,,,,,,
South West,2017,9,4379,2017-9,,,,,,,,
South West,2017,10,4671,2017-10,,,,,,,,
South West,2017,11,4942,2017-11,,,,,,,,
South West,2017,12,4772,2017-12,,,,,,,,
Wales,2017,1,3591,2017-1,,,,,,,,
Wales,2017,2,2880,2017-2,,,,,,,,
Wales,2017,3,2983,2017-3,,,,,,,,
Wales,2017,4,2602,2017-4,,,,,,,,
Wales,2017,5,2800,2017-5,,,,,,,,
Wales,2017,6,2627,2017-6,,,,,,,,
Wales,2017,7,2374,2017-7,,,,,,,,
Wales,2017,8,2622,2017-8,,,,,,,,
Wales,2017,9,2467,2017-9,,,,,,,,
Wales,2017,10,2759,2017-10,,,,,,,,
Wales,2017,11,2786,2017-11,,,,,,,,
Wales,2017,12,2757,2017-12,,,,,,,,
North East,2018,1,3502,2018-1,,,,,,,,
North East,2018,2,2578,2018-2,,,,,,,,
North East,2018,3,2586,2018-3,,,,,,,,
North East,2018,4,2355,2018-4,,,,,,,,
North East,2018,5,2276,2018-5,,,,,,,,
North East,2018,6,2086,2018-6,,,,,,,,
North East,2018,7,2125,2018-7,,,,,,,,
North East,2018,8,2057,2018-8,,,,,,,,
North East,2018,9,1961,2018-9,,,,,,,,
North East,2018,10,2365,2018-10,,,,,,,,
North East,2018,11,2221,2018-11,,,,,,,,
North East,2018,12,2319,2018-12,,,,,,,,
North West,2018,1,8624,2018-1,,,,,,,,
North West,2018,2,6555,2018-2,,,,,,,,
North West,2018,3,6817,2018-3,,,,,,,,
North West,2018,4,6195,2018-4,,,,,,,,
North West,2018,5,5745,2018-5,,,,,,,,
North West,2018,6,5190,2018-6,,,,,,,,
North West,2018,7,5494,2018-7,,,,,,,,
North West,2018,8,5301,2018-8,,,,,,,,
North West,2018,9,4873,2018-9,,,,,,,,
North West,2018,10,5892,2018-10,,,,,,,,
North West,2018,11,6013,2018-11,,,,,,,,
North West,2018,12,5579,2018-12,,,,,,,,
Yorkshire and the Humber,2018,1,6338,2018-1,,,,,,,,
Yorkshire and the Humber,2018,2,4827,2018-2,,,,,,,,
Yorkshire and the Humber,2018,3,4909,2018-3,,,,,,,,
Yorkshire and the Humber,2018,4,4510,2018-4,,,,,,,,
Yorkshire and the Humber,2018,5,4009,2018-5,,,,,,,,
Yorkshire and the Humber,2018,6,3946,2018-6,,,,,,,,
Yorkshire and the Humber,2018,7,4007,2018-7,,,,,,,,
Yorkshire and the Humber,2018,8,3939,2018-8,,,,,,,,
Yorkshire and the Humber,2018,9,3645,2018-9,,,,,,,,
Yorkshire and the Humber,2018,10,4419,2018-10,,,,,,,,
Yorkshire and the Humber,2018,11,4345,2018-11,,,,,,,,
Yorkshire and the Humber,2018,12,4184,2018-12,,,,,,,,
East Midlands,2018,1,5400,2018-1,,,,,,,,
East Midlands,2018,2,4191,2018-2,,,,,,,,
East Midlands,2018,3,4412,2018-3,,,,,,,,
East Midlands,2018,4,4016,2018-4,,,,,,,,
East Midlands,2018,5,3764,2018-5,,,,,,,,
East Midlands,2018,6,3446,2018-6,,,,,,,,
East Midlands,2018,7,3388,2018-7,,,,,,,,
East Midlands,2018,8,3425,2018-8,,,,,,,,
East Midlands,2018,9,3170,2018-9,,,,,,,,
East Midlands,2018,10,3811,2018-10,,,,,,,,
East Midlands,2018,11,3691,2018-11,,,,,,,,
East Midlands,2018,12,3521,2018-12,,,,,,,,
West Midlands,2018,1,6611,2018-1,,,,,,,,
West Midlands,2018,2,5299,2018-2,,,,,,,,
West Midlands,2018,3,5498,2018-3,,,,,,,,
West Midlands,2018,4,4633,2018-4,,,,,,,,
West Midlands,2018,5,4471,2018-5,,,,,,,,
West Midlands,2018,6,4170,2018-6,,,,,,,,
West Midlands,2018,7,4218,2018-7,,,,,,,,
West Midlands,2018,8,4178,2018-8,,,,,,,,
West Midlands,2018,9,3878,2018-9,,,,,,,,
West Midlands,2018,10,4612,2018-10,,,,,,,,
West Midlands,2018,11,4539,2018-11,,,,,,,,
West Midlands,2018,12,4196,2018-12,,,,,,,,
East,2018,1,7110,2018-1,,,,,,,,
East,2018,2,5256,2018-2,,,,,,,,
East,2018,3,5470,2018-3,,,,,,,,
East,2018,4,5281,2018-4,,,,,,,,
East,2018,5,4664,2018-5,,,,,,,,
East,2018,6,4351,2018-6,,,,,,,,
East,2018,7,4352,2018-7,,,,,,,,
East,2018,8,4445,2018-8,,,,,,,,
East,2018,9,3942,2018-9,,,,,,,,
East,2018,10,4772,2018-10,,,,,,,,
East,2018,11,4738,2018-11,,,,,,,,
East,2018,12,4307,2018-12,,,,,,,,
London,2018,1,5704,2018-1,,,,,,,,
London,2018,2,4558,2018-2,,,,,,,,
London,2018,3,4686,2018-3,,,,,,,,
London,2018,4,4329,2018-4,,,,,,,,
London,2018,5,4018,2018-5,,,,,,,,
London,2018,6,3664,2018-6,,,,,,,,
London,2018,7,4007,2018-7,,,,,,,,
London,2018,8,3857,2018-8,,,,,,,,
London,2018,9,3477,2018-9,,,,,,,,
London,2018,10,4163,2018-10,,,,,,,,
London,2018,11,4042,2018-11,,,,,,,,
London,2018,12,3891,2018-12,,,,,,,,
South East,2018,1,10007,2018-1,,,,,,,,
South East,2018,2,7325,2018-2,,,,,,,,
South East,2018,3,7796,2018-3,,,,,,,,
South East,2018,4,7144,2018-4,,,,,,,,
South East,2018,5,6505,2018-5,,,,,,,,
South East,2018,6,6019,2018-6,,,,,,,,
South East,2018,7,6158,2018-7,,,,,,,,
South East,2018,8,6191,2018-8,,,,,,,,
South East,2018,9,5787,2018-9,,,,,,,,
South East,2018,10,6704,2018-10,,,,,,,,
South East,2018,11,6691,2018-11,,,,,,,,
South East,2018,12,6296,2018-12,,,,,,,,
South West,2018,1,6779,2018-1,,,,,,,,
South West,2018,2,5329,2018-2,,,,,,,,
South West,2018,3,5552,2018-3,,,,,,,,
South West,2018,4,5015,2018-4,,,,,,,,
South West,2018,5,4499,2018-5,,,,,,,,
South West,2018,6,4341,2018-6,,,,,,,,
South West,2018,7,4310,2018-7,,,,,,,,
South West,2018,8,4217,2018-8,,,,,,,,
South West,2018,9,3949,2018-9,,,,,,,,
South West,2018,10,4728,2018-10,,,,,,,,
South West,2018,11,4691,2018-11,,,,,,,,
South West,2018,12,4417,2018-12,,,,,,,,
Wales,2018,1,3945,2018-1,,,,,,,,
Wales,2018,2,3169,2018-2,,,,,,,,
Wales,2018,3,3405,2018-3,,,,,,,,
Wales,2018,4,2905,2018-4,,,,,,,,
Wales,2018,5,2734,2018-5,,,,,,,,
Wales,2018,6,2466,2018-6,,,,,,,,
Wales,2018,7,2562,2018-7,,,,,,,,
Wales,2018,8,2461,2018-8,,,,,,,,
Wales,2018,9,2331,2018-9,,,,,,,,
Wales,2018,10,2845,2018-10,,,,,,,,
Wales,2018,11,2863,2018-11,,,,,,,,
Wales,2018,12,2720,2018-12,,,,,,,,
North East,2019,1,2848,2019-1,,,,,,,,
North East,2019,2,2365,2019-2,,,,,,,,
North East,2019,3,2302,2019-3,,,,,,,,
North East,2019,4,2260,2019-4,,,,,,,,
North East,2019,5,2319,2019-5,,,,,,,,
North East,2019,6,2018,2019-6,,,,,,,,
North East,2019,7,2216,2019-7,,,,,,,,
North East,2019,8,2225,2019-8,,,,,,,,
North East,2019,9,2086,2019-9,,,,,,,,
North East,2019,10,2454,2019-10,,,,,,,,
North East,2019,11,2413,2019-11,,,,,,,,
North East,2019,12,2531,2019-12,,,,,,,,
North West,2019,1,7127,2019-1,,,,,,,,
North West,2019,2,6160,2019-2,,,,,,,,
North West,2019,3,5830,2019-3,,,,,,,,
North West,2019,4,5838,2019-4,,,,,,,,
North West,2019,5,6048,2019-5,,,,,,,,
North West,2019,6,5265,2019-6,,,,,,,,
North West,2019,7,5880,2019-7,,,,,,,,
North West,2019,8,5157,2019-8,,,,,,,,
North West,2019,9,5388,2019-9,,,,,,,,
North West,2019,10,6381,2019-10,,,,,,,,
North West,2019,11,6009,2019-11,,,,,,,,
North West,2019,12,6933,2019-12,,,,,,,,
Yorkshire and the Humber,2019,1,5441,2019-1,,,,,,,,
Yorkshire and the Humber,2019,2,4564,2019-2,,,,,,,,
Yorkshire and the Humber,2019,3,4392,2019-3,,,,,,,,
Yorkshire and the Humber,2019,4,4350,2019-4,,,,,,,,
Yorkshire and the Humber,2019,5,4378,2019-5,,,,,,,,
Yorkshire and the Humber,2019,6,3836,2019-6,,,,,,,,
Yorkshire and the Humber,2019,7,4134,2019-7,,,,,,,,
Yorkshire and the Humber,2019,8,3852,2019-8,,,,,,,,
Yorkshire and the Humber,2019,9,3909,2019-9,,,,,,,,
Yorkshire and the Humber,2019,10,4598,2019-10,,,,,,,,
Yorkshire and the Humber,2019,11,4511,2019-11,,,,,,,,
Yorkshire and the Humber,2019,12,4581,2019-12,,,,,,,,
East Midlands,2019,1,4589,2019-1,,,,,,,,
East Midlands,2019,2,3892,2019-2,,,,,,,,
East Midlands,2019,3,3800,2019-3,,,,,,,,
East Midlands,2019,4,3761,2019-4,,,,,,,,
East Midlands,2019,5,3813,2019-5,,,,,,,,
East Midlands,2019,6,3254,2019-6,,,,,,,,
East Midlands,2019,7,3575,2019-7,,,,,,,,
East Midlands,2019,8,3252,2019-8,,,,,,,,
East Midlands,2019,9,3471,2019-9,,,,,,,,
East Midlands,2019,10,3961,2019-10,,,,,,,,
East Midlands,2019,11,3840,2019-11,,,,,,,,
East Midlands,2019,12,4221,2019-12,,,,,,,,
West Midlands,2019,1,5502,2019-1,,,,,,,,
West Midlands,2019,2,4779,2019-2,,,,,,,,
West Midlands,2019,3,4467,2019-3,,,,,,,,
West Midlands,2019,4,4529,2019-4,,,,,,,,
West Midlands,2019,5,4568,2019-5,,,,,,,,
West Midlands,2019,6,3989,2019-6,,,,,,,,
West Midlands,2019,7,4319,2019-7,,,,,,,,
West Midlands,2019,8,4012,2019-8,,,,,,,,
West Midlands,2019,9,4125,2019-9,,,,,,,,
West Midlands,2019,10,4725,2019-10,,,,,,,,
West Midlands,2019,11,4720,2019-11,,,,,,,,
West Midlands,2019,12,4866,2019-12,,,,,,,,
East,2019,1,5867,2019-1,,,,,,,,
East,2019,2,5078,2019-2,,,,,,,,
East,2019,3,4735,2019-3,,,,,,,,
East,2019,4,5010,2019-4,,,,,,,,
East,2019,5,4637,2019-5,,,,,,,,
East,2019,6,4032,2019-6,,,,,,,,
East,2019,7,4635,2019-7,,,,,,,,
East,2019,8,4111,2019-8,,,,,,,,
East,2019,9,4459,2019-9,,,,,,,,
East,2019,10,4988,2019-10,,,,,,,,
East,2019,11,4754,2019-11,,,,,,,,
East,2019,12,4893,2019-12,,,,,,,,
London,2019,1,4900,2019-1,,,,,,,,
London,2019,2,4183,2019-2,,,,,,,,
London,2019,3,4049,2019-3,,,,,,,,
London,2019,4,4102,2019-4,,,,,,,,
London,2019,5,4007,2019-5,,,,,,,,
London,2019,6,3618,2019-6,,,,,,,,
London,2019,7,3953,2019-7,,,,,,,,
London,2019,8,3720,2019-8,,,,,,,,
London,2019,9,3793,2019-9,,,,,,,,
London,2019,10,4135,2019-10,,,,,,,,
London,2019,11,4251,2019-11,,,,,,,,
London,2019,12,4296,2019-12,,,,,,,,
South East,2019,1,8351,2019-1,,,,,,,,
South East,2019,2,7010,2019-2,,,,,,,,
South East,2019,3,6828,2019-3,,,,,,,,
South East,2019,4,6764,2019-4,,,,,,,,
South East,2019,5,6965,2019-5,,,,,,,,
South East,2019,6,5963,2019-6,,,,,,,,
South East,2019,7,6386,2019-7,,,,,,,,
South East,2019,8,5862,2019-8,,,,,,,,
South East,2019,9,6000,2019-9,,,,,,,,
South East,2019,10,7118,2019-10,,,,,,,,
South East,2019,11,6968,2019-11,,,,,,,,
South East,2019,12,7019,2019-12,,,,,,,,
South West,2019,1,5760,2019-1,,,,,,,,
South West,2019,2,4816,2019-2,,,,,,,,
South West,2019,3,4714,2019-3,,,,,,,,
South West,2019,4,4553,2019-4,,,,,,,,
South West,2019,5,4769,2019-5,,,,,,,,
South West,2019,6,4205,2019-6,,,,,,,,
South West,2019,7,4516,2019-7,,,,,,,,
South West,2019,8,4080,2019-8,,,,,,,,
South West,2019,9,4231,2019-9,,,,,,,,
South West,2019,10,4897,2019-10,,,,,,,,
South West,2019,11,4814,2019-11,,,,,,,,
South West,2019,12,4946,2019-12,,,,,,,,
Wales,2019,1,3389,2019-1,,,,,,,,
Wales,2019,2,2848,2019-2,,,,,,,,
Wales,2019,3,2700,2019-3,,,,,,,,
Wales,2019,4,2838,2019-4,,,,,,,,
Wales,2019,5,2788,2019-5,,,,,,,,
Wales,2019,6,2331,2019-6,,,,,,,,
Wales,2019,7,2578,2019-7,,,,,,,,
Wales,2019,8,2450,2019-8,,,,,,,,
Wales,2019,9,2453,2019-9,,,,,,,,
Wales,2019,10,2874,2019-10,,,,,,,,
Wales,2019,11,2844,2019-11,,,,,,,,
Wales,2019,12,3090,2019-12,,,,,,,,
North East,2020,1,2892,2020-1,,,,,,,,
North East,2020,2,2250,2020-2,,,,,,,,
North East,2020,3,2497,2020-3,,,,,,,,
North East,2020,4,4352,2020-4,,,,,,,,
North East,2020,5,3052,2020-5,,,,,,,,
North East,2020,6,2248,2020-6,,,,,,,,
North West,2020,1,7513,2020-1,,,,,,,,
North West,2020,2,5916,2020-2,,,,,,,,
North West,2020,3,6741,2020-3,,,,,,,,
North West,2020,4,12354,2020-4,,,,,,,,
North West,2020,5,7152,2020-5,,,,,,,,
North West,2020,6,5894,2020-6,,,,,,,,
Yorkshire and the Humber,2020,1,5614,2020-1,,,,,,,,
Yorkshire and the Humber,2020,2,4308,2020-2,,,,,,,,
Yorkshire and the Humber,2020,3,4676,2020-3,,,,,,,,
Yorkshire and the Humber,2020,4,7987,2020-4,,,,,,,,
Yorkshire and the Humber,2020,5,5535,2020-5,,,,,,,,
Yorkshire and the Humber,2020,6,4291,2020-6,,,,,,,,
East Midlands,2020,1,4862,2020-1,,,,,,,,
East Midlands,2020,2,3758,2020-2,,,,,,,,
East Midlands,2020,3,4146,2020-3,,,,,,,,
East Midlands,2020,4,6769,2020-4,,,,,,,,
East Midlands,2020,5,4529,2020-5,,,,,,,,
East Midlands,2020,6,3868,2020-6,,,,,,,,
West Midlands,2020,1,6033,2020-1,,,,,,,,
West Midlands,2020,2,4504,2020-2,,,,,,,,
West Midlands,2020,3,5151,2020-3,,,,,,,,
West Midlands,2020,4,9932,2020-4,,,,,,,,
West Midlands,2020,5,5459,2020-5,,,,,,,,
West Midlands,2020,6,4563,2020-6,,,,,,,,
East,2020,1,6308,2020-1,,,,,,,,
East,2020,2,4721,2020-2,,,,,,,,
East,2020,3,5181,2020-3,,,,,,,,
East,2020,4,9516,2020-4,,,,,,,,
East,2020,5,5709,2020-5,,,,,,,,
East,2020,6,4301,2020-6,,,,,,,,
London,2020,1,4990,2020-1,,,,,,,,
London,2020,2,4080,2020-2,,,,,,,,
London,2020,3,5145,2020-3,,,,,,,,
London,2020,4,12175,2020-4,,,,,,,,
London,2020,5,4798,2020-5,,,,,,,,
London,2020,6,3787,2020-6,,,,,,,,
South East,2020,1,8777,2020-1,,,,,,,,
South East,2020,2,6683,2020-2,,,,,,,,
South East,2020,3,7844,2020-3,,,,,,,,
South East,2020,4,12823,2020-4,,,,,,,,
South East,2020,5,8049,2020-5,,,,,,,,
South East,2020,6,6432,2020-6,,,,,,,,
South West,2020,1,6056,2020-1,,,,,,,,
South West,2020,2,4586,2020-2,,,,,,,,
South West,2020,3,5127,2020-3,,,,,,,,
South West,2020,4,7596,2020-4,,,,,,,,
South West,2020,5,5130,2020-5,,,,,,,,
South West,2020,6,4501,2020-6,,,,,,,,
Wales,2020,1,3552,2020-1,,,,,,,,
Wales,2020,2,2749,2020-2,,,,,,,,
Wales,2020,3,3133,2020-3,,,,,,,,
Wales,2020,4,4545,2020-4,,,,,,,,
Wales,2020,5,2902,2020-5,,,,,,,,
Wales,2020,6,2692,2020-6,,,,,,,,
Scotland,2006,1,5402,2006-1,,,,,,,,
Scotland,2006,2,4381,2006-2,,,,,,,,
Scotland,2006,3,5093,2006-3,,,,,,,,
Scotland,2006,4,4590,2006-4,,,,,,,,
Scotland,2006,5,4985,2006-5,,,,,,,,
Scotland,2006,6,4365,2006-6,,,,,,,,
Scotland,2006,7,4187,2006-7,,,,,,,,
Scotland,2006,8,4315,2006-8,,,,,,,,
Scotland,2006,9,4169,2006-9,,,,,,,,
Scotland,2006,10,4596,2006-10,,,,,,,,
Scotland,2006,11,4446,2006-11,,,,,,,,
Scotland,2006,12,4564,2006-12,,,,,,,,
Scotland,2007,1,6447,2007-1,,,,,,,,
Scotland,2007,2,4619,2007-2,,,,,,,,
Scotland,2007,3,4754,2007-3,,,,,,,,
Scotland,2007,4,4588,2007-4,,,,,,,,
Scotland,2007,5,4584,2007-5,,,,,,,,
Scotland,2007,6,4228,2007-6,,,,,,,,
Scotland,2007,7,4339,2007-7,,,,,,,,
Scotland,2007,8,4343,2007-8,,,,,,,,
Scotland,2007,9,3932,2007-9,,,,,,,,
Scotland,2007,10,4732,2007-10,,,,,,,,
Scotland,2007,11,4593,2007-11,,,,,,,,
Scotland,2007,12,4827,2007-12,,,,,,,,
Scotland,2008,1,5538,2008-1,,,,,,,,
Scotland,2008,2,4682,2008-2,,,,,,,,
Scotland,2008,3,4853,2008-3,,,,,,,,
Scotland,2008,4,4922,2008-4,,,,,,,,
Scotland,2008,5,4333,2008-5,,,,,,,,
Scotland,2008,6,4238,2008-6,,,,,,,,
Scotland,2008,7,4357,2008-7,,,,,,,,
Scotland,2008,8,3969,2008-8,,,,,,,,
Scotland,2008,9,4300,2008-9,,,,,,,,
Scotland,2008,10,4598,2008-10,,,,,,,,
Scotland,2008,11,4208,2008-11,,,,,,,,
Scotland,2008,12,5702,2008-12,,,,,,,,
Scotland,2009,1,5610,2009-1,,,,,,,,
Scotland,2009,2,4499,2009-2,,,,,,,,
Scotland,2009,3,4721,2009-3,,,,,,,,
Scotland,2009,4,4480,2009-4,,,,,,,,
Scotland,2009,5,4037,2009-5,,,,,,,,
Scotland,2009,6,4253,2009-6,,,,,,,,
Scotland,2009,7,4199,2009-7,,,,,,,,
Scotland,2009,8,4009,2009-8,,,,,,,,
Scotland,2009,9,4219,2009-9,,,,,,,,
Scotland,2009,10,4352,2009-10,,,,,,,,
Scotland,2009,11,4479,2009-11,,,,,,,,
Scotland,2009,12,4998,2009-12,,,,,,,,
Scotland,2010,1,5239,2010-1,,,,,,,,
Scotland,2010,2,4481,2010-2,,,,,,,,
Scotland,2010,3,4970,2010-3,,,,,,,,
Scotland,2010,4,4431,2010-4,,,,,,,,
Scotland,2010,5,3992,2010-5,,,,,,,,
Scotland,2010,6,4389,2010-6,,,,,,,,
Scotland,2010,7,3977,2010-7,,,,,,,,
Scotland,2010,8,4284,2010-8,,,,,,,,
Scotland,2010,9,4245,2010-9,,,,,,,,
Scotland,2010,10,4208,2010-10,,,,,,,,
Scotland,2010,11,4660,2010-11,,,,,,,,
Scotland,2010,12,5091,2010-12,,,,,,,,
Scotland,2011,1,5460,2011-1,,,,,,,,
Scotland,2011,2,4280,2011-2,,,,,,,,
Scotland,2011,3,4795,2011-3,,,,,,,,
Scotland,2011,4,4032,2011-4,,,,,,,,
Scotland,2011,5,4617,2011-5,,,,,,,,
Scotland,2011,6,4322,2011-6,,,,,,,,
Scotland,2011,7,3987,2011-7,,,,,,,,
Scotland,2011,8,4395,2011-8,,,,,,,,
Scotland,2011,9,4236,2011-9,,,,,,,,
Scotland,2011,10,4415,2011-10,,,,,,,,
Scotland,2011,11,4223,2011-11,,,,,,,,
Scotland,2011,12,4899,2011-12,,,,,,,,
Scotland,2012,1,5228,2012-1,,,,,,,,
Scotland,2012,2,4518,2012-2,,,,,,,,
Scotland,2012,3,4474,2012-3,,,,,,,,
Scotland,2012,4,4592,2012-4,,,,,,,,
Scotland,2012,5,4932,2012-5,,,,,,,,
Scotland,2012,6,4176,2012-6,,,,,,,,
Scotland,2012,7,4427,2012-7,,,,,,,,
Scotland,2012,8,4334,2012-8,,,,,,,,
Scotland,2012,9,4000,2012-9,,,,,,,,
Scotland,2012,10,4907,2012-10,,,,,,,,
Scotland,2012,11,4532,2012-11,,,,,,,,
Scotland,2012,12,4817,2012-12,,,,,,,,
Scotland,2013,1,5844,2013-1,,,,,,,,
Scotland,2013,2,4652,2013-2,,,,,,,,
Scotland,2013,3,4595,2013-3,,,,,,,,
Scotland,2013,4,5255,2013-4,,,,,,,,
Scotland,2013,5,4574,2013-5,,,,,,,,
Scotland,2013,6,3906,2013-6,,,,,,,,
Scotland,2013,7,4310,2013-7,,,,,,,,
Scotland,2013,8,3940,2013-8,,,,,,,,
Scotland,2013,9,3974,2013-9,,,,,,,,
Scotland,2013,10,4639,2013-10,,,,,,,,
Scotland,2013,11,4295,2013-11,,,,,,,,
Scotland,2013,12,4716,2013-12,,,,,,,,
Scotland,2014,1,5156,2014-1,,,,,,,,
Scotland,2014,2,4319,2014-2,,,,,,,,
Scotland,2014,3,4484,2014-3,,,,,,,,
Scotland,2014,4,4449,2014-4,,,,,,,,
Scotland,2014,5,4287,2014-5,,,,,,,,
Scotland,2014,6,4110,2014-6,,,,,,,,
Scotland,2014,7,4451,2014-7,,,,,,,,
Scotland,2014,8,4140,2014-8,,,,,,,,
Scotland,2014,9,4347,2014-9,,,,,,,,
Scotland,2014,10,4749,2014-10,,,,,,,,
Scotland,2014,11,4257,2014-11,,,,,,,,
Scotland,2014,12,5490,2014-12,,,,,,,,
Scotland,2015,1,5919,2015-1,,,,,,,,
Scotland,2015,2,5331,2015-2,,,,,,,,
Scotland,2015,3,5273,2015-3,,,,,,,,
Scotland,2015,4,4791,2015-4,,,,,,,,
Scotland,2015,5,4409,2015-5,,,,,,,,
Scotland,2015,6,4703,2015-6,,,,,,,,
Scotland,2015,7,4507,2015-7,,,,,,,,
Scotland,2015,8,4208,2015-8,,,,,,,,
Scotland,2015,9,4372,2015-9,,,,,,,,
Scotland,2015,10,4475,2015-10,,,,,,,,
Scotland,2015,11,4570,2015-11,,,,,,,,
Scotland,2015,12,5021,2015-12,,,,,,,,
Scotland,2016,1,5111,2016-1,,,,,,,,
Scotland,2016,2,5157,2016-2,,,,,,,,
Scotland,2016,3,5220,2016-3,,,,,,,,
Scotland,2016,4,4588,2016-4,,,,,,,,
Scotland,2016,5,4476,2016-5,,,,,,,,
Scotland,2016,6,4402,2016-6,,,,,,,,
Scotland,2016,7,4220,2016-7,,,,,,,,
Scotland,2016,8,4683,2016-8,,,,,,,,
Scotland,2016,9,4299,2016-9,,,,,,,,
Scotland,2016,10,4469,2016-10,,,,,,,,
Scotland,2016,11,4884,2016-11,,,,,,,,
Scotland,2016,12,5219,2016-12,,,,,,,,
Scotland,2017,1,5643,2017-1,,,,,,,,
Scotland,2017,2,4904,2017-2,,,,,,,,
Scotland,2017,3,5164,2017-3,,,,,,,,
Scotland,2017,4,4297,2017-4,,,,,,,,
Scotland,2017,5,5002,2017-5,,,,,,,,
Scotland,2017,6,4490,2017-6,,,,,,,,
Scotland,2017,7,4307,2017-7,,,,,,,,
Scotland,2017,8,4637,2017-8,,,,,,,,
Scotland,2017,9,4241,2017-9,,,,,,,,
Scotland,2017,10,4801,2017-10,,,,,,,,
Scotland,2017,11,5015,2017-11,,,,,,,,
Scotland,2017,12,5382,2017-12,,,,,,,,
Scotland,2018,1,7552,2018-1,,,,,,,,
Scotland,2018,2,5049,2018-2,,,,,,,,
Scotland,2018,3,5170,2018-3,,,,,,,,
Scotland,2018,4,4793,2018-4,,,,,,,,
Scotland,2018,5,4667,2018-5,,,,,,,,
Scotland,2018,6,4161,2018-6,,,,,,,,
Scotland,2018,7,4365,2018-7,,,,,,,,
Scotland,2018,8,4307,2018-8,,,,,,,,
Scotland,2018,9,3954,2018-9,,,,,,,,
Scotland,2018,10,4888,2018-10,,,,,,,,
Scotland,2018,11,4715,2018-11,,,,,,,,
Scotland,2018,12,4882,2018-12,,,,,,,,
Scotland,2019,1,5834,2019-1,,,,,,,,
Scotland,2019,2,4835,2019-2,,,,,,,,
Scotland,2019,3,4637,2019-3,,,,,,,,
Scotland,2019,4,4666,2019-4,,,,,,,,
Scotland,2019,5,4807,2019-5,,,,,,,,
Scotland,2019,6,4179,2019-6,,,,,,,,
Scotland,2019,7,4746,2019-7,,,,,,,,
Scotland,2019,8,4407,2019-8,,,,,,,,
Scotland,2019,9,4432,2019-9,,,,,,,,
Scotland,2019,10,5217,2019-10,,,,,,,,
Scotland,2019,11,4917,2019-11,,,,,,,,
Scotland,2019,12,5431,2019-12,,,,,,,,
Scotland,2020,1,5725,2020-1,,,,,,,,
Scotland,2020,2,4715,2020-2,,,,,,,,
